id,name,category_id,description,location,phone,email,opening_hours,image_url,logo_url,website_url,instagram_handle,facebook_handle,has_online_ordering,has_delivery,has_collection,has_appointment_booking,has_virtual_try_on,delivery_fee,minimum_order_amount,estimated_delivery_time,is_featured,is_active,rating,total_reviews,created_at,updated_at,product_count
80,Doll Life,4,"Full-service beauty salon specializing in hair styling, makeup, and beauty treatments","First Floor, Beauty Wing",+267 123 4576,dolllife@molapo.co.bw,"{""friday"": ""09:00-19:00"", ""monday"": ""09:00-18:00"", ""sunday"": ""10:00-17:00"", ""tuesday"": ""09:00-18:00"", ""saturday"": ""08:00-19:00"", ""thursday"": ""09:00-18:00"", ""wednesday"": ""09:00-18:00""}",https://images.unsplash.com/photo-1562322140-8baeececf3df?w=800,,,dolllife_beauty,,true,false,false,true,true,0.00,0.00,,false,true,4.40,98,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
81,Cutting Line Studio,4,"Modern hair studio offering precision cuts, styling, and hair care services","First Floor, Beauty Wing",+267 123 4577,cuttingline@molapo.co.bw,"{""friday"": ""09:00-19:00"", ""monday"": ""09:00-18:00"", ""sunday"": ""10:00-17:00"", ""tuesday"": ""09:00-18:00"", ""saturday"": ""08:00-19:00"", ""thursday"": ""09:00-18:00"", ""wednesday"": ""09:00-18:00""}",https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?w=800,,,cuttingline_studio,,true,false,false,true,true,0.00,0.00,,false,true,4.30,76,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
82,Clinicare Pharmacy,5,"Full-service pharmacy with prescription medications, health products, and wellness advice","Ground Floor, Health Center",+267 123 4578,clinicare@molapo.co.bw,"{""friday"": ""08:00-20:00"", ""monday"": ""08:00-20:00"", ""sunday"": ""09:00-18:00"", ""tuesday"": ""08:00-20:00"", ""saturday"": ""08:00-20:00"", ""thursday"": ""08:00-20:00"", ""wednesday"": ""08:00-20:00""}",https://images.unsplash.com/photo-1576091160399-112ba8d25d1f?w=800,,,clinicare_pharmacy,,true,true,true,false,false,25.00,75.00,30-60 minutes,true,true,4.50,203,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
83,Health Alternatives,5,"Alternative health solutions, supplements, and natural wellness products","Ground Floor, Health Center",+267 123 4579,healthalt@molapo.co.bw,"{""friday"": ""08:00-19:00"", ""monday"": ""08:00-18:00"", ""sunday"": ""09:00-17:00"", ""tuesday"": ""08:00-18:00"", ""saturday"": ""08:00-19:00"", ""thursday"": ""08:00-18:00"", ""wednesday"": ""08:00-18:00""}",https://images.unsplash.com/photo-1559757148-5c350d0d3c56?w=800,,,healthalternatives,,true,true,true,true,false,30.00,100.00,45-60 minutes,false,true,4.20,67,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
84,Smile Time Dentist,5,"Professional dental services including checkups, cleaning, and cosmetic dentistry","First Floor, Medical Suite",+267 123 4580,smiletime@molapo.co.bw,"{""friday"": ""08:00-17:00"", ""monday"": ""08:00-17:00"", ""sunday"": ""closed"", ""tuesday"": ""08:00-17:00"", ""saturday"": ""08:00-14:00"", ""thursday"": ""08:00-17:00"", ""wednesday"": ""08:00-17:00""}",https://images.unsplash.com/photo-1629909613654-28e377c37b09?w=800,,,smiletime_dentist,,false,false,false,true,false,0.00,0.00,,false,true,4.70,154,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
85,Dros,6,"Popular restaurant chain serving steaks, burgers, and family-friendly meals","Ground Floor, Food Court",+267 123 4581,dros@molapo.co.bw,"{""friday"": ""11:00-23:00"", ""monday"": ""11:00-22:00"", ""sunday"": ""11:00-22:00"", ""tuesday"": ""11:00-22:00"", ""saturday"": ""11:00-23:00"", ""thursday"": ""11:00-22:00"", ""wednesday"": ""11:00-22:00""}",https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=800,,,dros_molapo,,true,true,true,true,false,35.00,150.00,30-45 minutes,true,true,4.40,312,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
86,Cappello,6,"Italian cuisine and fine dining with authentic pasta, pizza, and Mediterranean dishes","First Floor, Premium Dining",+267 123 4582,cappello@molapo.co.bw,"{""friday"": ""11:30-23:00"", ""monday"": ""11:30-22:00"", ""sunday"": ""11:30-22:00"", ""tuesday"": ""11:30-22:00"", ""saturday"": ""11:30-23:00"", ""thursday"": ""11:30-22:00"", ""wednesday"": ""11:30-22:00""}",https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800,,,cappello_restaurant,,true,true,true,true,false,40.00,200.00,45-60 minutes,true,true,4.60,287,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
87,La Parada,6,"Casual dining with international cuisine, fresh salads, and contemporary dishes","Ground Floor, Food Court",+267 123 4583,laparada@molapo.co.bw,"{""friday"": ""11:00-23:00"", ""monday"": ""11:00-22:00"", ""sunday"": ""11:00-22:00"", ""tuesday"": ""11:00-22:00"", ""saturday"": ""11:00-23:00"", ""thursday"": ""11:00-22:00"", ""wednesday"": ""11:00-22:00""}",https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=800,,,laparada_dining,,true,true,true,true,false,30.00,120.00,30-45 minutes,false,true,4.30,178,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
88,Shine Africa Travels,7,"Full-service travel agency offering flight bookings, tours, and travel planning","First Floor, Business Center",+267 123 4584,shineafrica@molapo.co.bw,"{""friday"": ""08:00-17:00"", ""monday"": ""08:00-17:00"", ""sunday"": ""closed"", ""tuesday"": ""08:00-17:00"", ""saturday"": ""09:00-14:00"", ""thursday"": ""08:00-17:00"", ""wednesday"": ""08:00-17:00""}",https://images.unsplash.com/photo-1488646953014-85cb44e25828?w=800,,,shineafrica_travels,,false,false,false,true,false,0.00,0.00,,false,true,4.20,45,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
89,Premier Properties,7,"Real estate services including property sales, rentals, and property management","First Floor, Business Center",+267 123 4585,premier@molapo.co.bw,"{""friday"": ""08:00-17:00"", ""monday"": ""08:00-17:00"", ""sunday"": ""closed"", ""tuesday"": ""08:00-17:00"", ""saturday"": ""09:00-14:00"", ""thursday"": ""08:00-17:00"", ""wednesday"": ""08:00-17:00""}",https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=800,,,premier_properties,,false,false,false,true,false,0.00,0.00,,false,true,4.10,38,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
90,Fun Ads Solutions,7,"Marketing and advertising services, graphic design, and promotional solutions","First Floor, Business Center",+267 123 4586,funads@molapo.co.bw,"{""friday"": ""08:00-17:00"", ""monday"": ""08:00-17:00"", ""sunday"": ""closed"", ""tuesday"": ""08:00-17:00"", ""saturday"": ""09:00-14:00"", ""thursday"": ""08:00-17:00"", ""wednesday"": ""08:00-17:00""}",https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=800,,,funads_solutions,,false,false,false,true,false,0.00,0.00,,true,true,4.30,56,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
91,Morula Shoe Care,8,"Professional shoe repair, cleaning, and leather care services","Ground Floor, Service Area",+267 123 4587,morula@molapo.co.bw,"{""friday"": ""08:00-18:00"", ""monday"": ""08:00-18:00"", ""sunday"": ""closed"", ""tuesday"": ""08:00-18:00"", ""saturday"": ""08:00-16:00"", ""thursday"": ""08:00-18:00"", ""wednesday"": ""08:00-18:00""}",https://images.unsplash.com/photo-1549298916-b41d501d3772?w=800,,,morula_shoecare,,false,true,true,false,false,15.00,50.00,1-3 days,false,true,4.20,24,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
92,Music Mania,8,"Musical instruments, audio equipment, and music accessories","First Floor, Entertainment Zone",+267 123 4588,musicmania@molapo.co.bw,"{""friday"": ""09:00-19:00"", ""monday"": ""09:00-18:00"", ""sunday"": ""10:00-17:00"", ""tuesday"": ""09:00-18:00"", ""saturday"": ""09:00-19:00"", ""thursday"": ""09:00-18:00"", ""wednesday"": ""09:00-18:00""}",https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=800,,,musicmania_store,,true,true,true,false,false,45.00,200.00,2-3 days,false,true,4.40,82,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
93,H2O International,8,"Water treatment solutions, filtration systems, and water quality services","Ground Floor, Utility Services",+267 123 4589,h2o@molapo.co.bw,"{""friday"": ""08:00-17:00"", ""monday"": ""08:00-17:00"", ""sunday"": ""closed"", ""tuesday"": ""08:00-17:00"", ""saturday"": ""08:00-14:00"", ""thursday"": ""08:00-17:00"", ""wednesday"": ""08:00-17:00""}",https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800,,,h2o_international,,true,true,true,true,false,60.00,500.00,3-5 days,false,true,4.00,19,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
